0,1,2,3,4,5,6,7
ARZ,SEA,Thu,PRIME,1,NFL,0,0
ARZ,SEA,Thu,PRIME,10,NFL,0,0
ARZ,SEA,Thu,PRIME,11,NFL,0,0
ARZ,SEA,Thu,PRIME,12,NFL,0,0
ARZ,SEA,Thu,PRIME,13,NFL,0,0
ARZ,SEA,Thu,PRIME,14,NFL,0,0
ARZ,SEA,Thu,PRIME,15,NFL,0,0
ARZ,SEA,Thu,PRIME,16,NFL,0,0
ARZ,SEA,Thu,PRIME,2,NFL,0,0
ARZ,SEA,Thu,PRIME,3,NFL,0,0
ARZ,SEA,Thu,PRIME,4,NFL,0,0
ARZ,SEA,Thu,PRIME,5,NFL,0,0
ARZ,SEA,Thu,PRIME,6,NFL,0,0
ARZ,SEA,Thu,PRIME,7,NFL,0,0
ARZ,SEA,Thu,PRIME,8,NFL,0,0
ARZ,SEA,Thu,PRIME,9,NFL,0,0
ATL,CAR,Mon,PRIME,1,ESPN,0,0
ATL,CAR,Mon,PRIME,10,ESPN,0,1
ATL,CAR,Mon,PRIME,11,ESPN,0,1
ATL,CAR,Mon,PRIME,12,ESPN,0,1
ATL,CAR,Mon,PRIME,13,ESPN,0,0
ATL,CAR,Mon,PRIME,14,ESPN,0,1
ATL,CAR,Mon,PRIME,15,ESPN,0,1
ATL,CAR,Mon,PRIME,16,ESPN,0,0
ATL,CAR,Mon,PRIME,2,ESPN,0,0
ATL,CAR,Mon,PRIME,3,ESPN,0,1
ATL,CAR,Mon,PRIME,4,ESPN,0,1
ATL,CAR,Mon,PRIME,5,ESPN,0,0
ATL,CAR,Mon,PRIME,6,ESPN,0,0
ATL,CAR,Mon,PRIME,7,ESPN,0,0
ATL,CAR,Mon,PRIME,8,ESPN,0,1
ATL,CAR,Mon,PRIME,9,ESPN,0,1
ATL,CAR,Sat,PRIME,15,NFL,0,1
ATL,CAR,Sat,PRIME,16,NFL,0,1
ATL,CAR,Thu,PRIME,1,NFL,0,0
ATL,CAR,Thu,PRIME,10,NFL,0,0
ATL,CAR,Thu,PRIME,11,NFL,0,0
ATL,CAR,Thu,PRIME,12,NFL,0,0
ATL,CAR,Thu,PRIME,13,NFL,0,0
ATL,CAR,Thu,PRIME,14,NFL,0,0
ATL,CAR,Thu,PRIME,15,NFL,0,0
ATL,CAR,Thu,PRIME,16,NFL,0,0
ATL,CAR,Thu,PRIME,2,NFL,0,0
ATL,CAR,Thu,PRIME,3,NFL,0,0
ATL,CAR,Thu,PRIME,4,NFL,0,0
ATL,CAR,Thu,PRIME,5,NFL,0,0
ATL,CAR,Thu,PRIME,6,NFL,0,0
ATL,CAR,Thu,PRIME,7,NFL,0,0
ATL,CAR,Thu,PRIME,8,NFL,0,0
ATL,CAR,Thu,PRIME,9,NFL,0,0
ATL,CHI,Mon,PRIME,1,ESPN,0,0
ATL,CHI,Mon,PRIME,10,ESPN,0,1
ATL,CHI,Mon,PRIME,11,ESPN,0,1
ATL,CHI,Mon,PRIME,12,ESPN,0,1
ATL,CHI,Mon,PRIME,13,ESPN,0,1
ATL,CHI,Mon,PRIME,14,ESPN,0,1
ATL,CHI,Mon,PRIME,15,ESPN,0,1
ATL,CHI,Mon,PRIME,16,ESPN,0,0
ATL,CHI,Mon,PRIME,2,ESPN,0,0
ATL,CHI,Mon,PRIME,3,ESPN,0,0
ATL,CHI,Mon,PRIME,4,ESPN,0,0
ATL,CHI,Mon,PRIME,5,ESPN,0,1
ATL,CHI,Mon,PRIME,6,ESPN,0,1
ATL,CHI,Mon,PRIME,7,ESPN,0,1
ATL,CHI,Mon,PRIME,8,ESPN,0,1
ATL,CHI,Mon,PRIME,9,ESPN,0,1
ATL,DET,Mon,PRIME,1,ESPN,0,0
ATL,DET,Mon,PRIME,10,ESPN,0,0
ATL,DET,Mon,PRIME,11,ESPN,0,0
ATL,DET,Mon,PRIME,12,ESPN,0,0
ATL,DET,Mon,PRIME,13,ESPN,0,1
ATL,DET,Mon,PRIME,14,ESPN,0,1
ATL,DET,Mon,PRIME,15,ESPN,0,1
ATL,DET,Mon,PRIME,16,ESPN,0,0
ATL,DET,Mon,PRIME,2,ESPN,0,0
ATL,DET,Mon,PRIME,3,ESPN,0,1
ATL,DET,Mon,PRIME,4,ESPN,0,1
ATL,DET,Mon,PRIME,5,ESPN,0,1
ATL,DET,Mon,PRIME,6,ESPN,0,1
ATL,DET,Mon,PRIME,7,ESPN,0,1
ATL,DET,Mon,PRIME,8,ESPN,0,1
