0,1,2,3,4,5,6,7
ARZ,DET,Sun,EARLY,1,CBS,0,1
ARZ,DET,Sun,EARLY,10,CBS,0,1
ARZ,DET,Sun,EARLY,11,CBS,0,1
ARZ,DET,Sun,EARLY,12,CBS,0,1
ARZ,DET,Sun,EARLY,13,CBS,0,1
ARZ,DET,Sun,EARLY,14,CBS,0,1
ARZ,DET,Sun,EARLY,15,CBS,0,1
ARZ,DET,Sun,EARLY,16,CBS,0,1
ARZ,DET,Sun,EARLY,17,CBS,0,0
ARZ,DET,Sun,EARLY,2,CBS,0,1
ARZ,DET,Sun,EARLY,3,CBS,0,1
ARZ,DET,Sun,EARLY,4,CBS,0,1
ARZ,DET,Sun,EARLY,5,CBS,0,1
ARZ,DET,Sun,EARLY,6,CBS,0,1
ARZ,DET,Sun,EARLY,7,CBS,0,1
ARZ,DET,Sun,EARLY,8,CBS,0,1
ARZ,DET,Sun,EARLY,9,CBS,0,1
ARZ,DET,Sun,EARLY,1,FOX,0,1
ARZ,DET,Sun,EARLY,10,FOX,0,1
ARZ,DET,Sun,EARLY,11,FOX,0,1
ARZ,DET,Sun,EARLY,12,FOX,0,1
ARZ,DET,Sun,EARLY,13,FOX,0,1
ARZ,DET,Sun,EARLY,14,FOX,0,1
ARZ,DET,Sun,EARLY,15,FOX,0,1
ARZ,DET,Sun,EARLY,16,FOX,0,1
ARZ,DET,Sun,EARLY,17,FOX,0,1
ARZ,DET,Sun,EARLY,2,FOX,0,1
ARZ,DET,Sun,EARLY,3,FOX,0,1
ARZ,DET,Sun,EARLY,4,FOX,0,1
ARZ,DET,Sun,EARLY,5,FOX,0,1
ARZ,DET,Sun,EARLY,6,FOX,0,1
ARZ,DET,Sun,EARLY,7,FOX,0,1
ARZ,DET,Sun,EARLY,8,FOX,0,1
ARZ,DET,Sun,EARLY,9,FOX,0,1
ARZ,HOU,Sun,EARLY,1,CBS,0,1
ARZ,HOU,Sun,EARLY,10,CBS,0,0
ARZ,HOU,Sun,EARLY,11,CBS,0,1
ARZ,HOU,Sun,EARLY,12,CBS,0,1
ARZ,HOU,Sun,EARLY,13,CBS,0,0
ARZ,HOU,Sun,EARLY,14,CBS,0,1
